dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,87.2866485118866,0.336004495620728
Beef,0.755555555555556,0.0157134840263677,0.733333333333333,78.8718787034353,0.294381300608317
GunPoint,1,0,1,94.2752001285553,0.789517641067505
ECG200,0.9,0.0216024689946928,0.91,42.8849097887675,1.00039227803548
Wine,0.728395061728395,0.0349188533919282,0.740740740740741,47.3891140619914,1.04310814539591
ToeSegmentation1,0.973684210526316,0.0062026910630399,0.978070175438596,95.9465789794922,0.891721963882446
ArrowHead,0.788571428571429,0.0259774889466397,0.8,93.9141068458557,0.981600761413574
CBF,0.998518518518519,0.0005237828008789,0.998888888888889,116.813737074534,0.777640501658122
BME,0.982222222222222,0.006285393610547,0.98,94.9041570027669,0.605306704839071
FreezerRegularTrain,0.997543859649123,0.0007579813682348,0.997894736842105,138.401678562164,1.07023104031881
Trace,1,0,1,47.5263077418009,0.93832540512085
Plane,1,0,1,42.2345700263977,1.10159834225972
FacesUCR,0.951382113821138,0.0048015684748726,0.964390243902439,105.34419520696,0.985324064890544
Fish,0.979047619047619,0.0053874802376118,0.982857142857143,72.6764225959778,1.01375301678975
Yoga,0.903666666666667,0.0026246692913372,0.922666666666667,173.204721212387,1.16316787401835
SwedishLeaf,0.957333333333333,0.0052797306328595,0.9616,80.1348152160645,0.830604712168376
ECG5000,0.940888888888889,0.0004800548665487,0.943333333333333,173.87909022967,0.916167577107747
ChlorineConcentration,0.838975694444445,0.0055947510570562,0.844791666666667,159.229064464569,0.608629624048869
Adiac,0.820971867007673,0.0110498562632699,0.851662404092072,70.4143596490224,0.785669962565104
FiftyWords,0.766300366300366,0.0092086484175652,0.808791208791209,91.8432389100393,0.760867675145467
FaceAll,0.802958579881657,0.0056960666975122,0.80414201183432,111.676138242086,0.594014883041382
StarLightCurves,0.975109276347742,0.001387925222558,0.977901894123361,864.946674823761,1.25670655568441
Wafer,0.99891845122215,7.64770475001505E-05,0.999188838416612,234.625316301982,0.923027674357096
ElectricDevices,0.682012709116846,0.0024764942873647,0.700038905459733,633.599954207738,0.780547142028809
Crop,0.719305555555556,0.0032429400808295,0.747678571428571,651.230714718501,0.769074598948161
NonInvasiveFetalECGThorax1,0.944868532654792,0.0044430197976959,0.951653944020356,677.00249004364,1.03143787384033
SmoothSubspace,0.984444444444445,0.0031426968052735,0.993333333333333,35.0483345985413,0.693407694498698
ShapesAll,0.899444444444444,0.0090608369057222,0.908333333333333,172.551654020945,0.776674509048462
CricketX,0.815384615384616,0.0072523772429389,0.833333333333333,85.1946837902069,0.749010324478149
UWaveGestureLibraryX,0.81286059929276,0.00564977079347127,0.830262423227247,220.947321017583,1.02157386144002
AVERAGE,0.897278820487557,0.00662791694414388,0.90549623766878,186.466602555911,0.849649606810676
