dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
Coffee,1.0,0.0,1.0,137.4624546368917,0.0163626670837402,0.0269586976346232,0.0927036936594047,Ireland,leinster
Beef,0.7555555555555555,0.0157134840263677,0.7333333333333333,122.78790950775146,0.0152211189270019,0.0057713219558993,0.0198460203775704,Ireland,leinster
GunPoint,1.0,0.0,1.0,138.66200280189514,0.0730118751525878,0.0039164618075228,0.0134676563591507,Ireland,leinster
ECG200,0.9066666666666668,0.0124721912892464,0.91,95.37435897191364,0.0681171417236328,0.0019649008874672,0.0067567644554503,Ireland,leinster
Wine,0.6234567901234568,0.048604986876616,0.6481481481481481,69.38414168357849,0.0383206208546956,0.0012866778409164,0.0044245382332367,Ireland,leinster
ToeSegmentation1,0.976608187134503,0.0074547068912174,0.9736842105263158,150.57219696044922,0.1208913326263427,0.0025090495210085,0.0086279449150067,Ireland,leinster
ArrowHead,0.8019047619047619,0.0608928280500791,0.8114285714285714,150.21726727485657,0.1017657915751139,0.0021219156600251,0.0072966959303489,Ireland,leinster
CBF,0.9955555555555554,0.001814436846506,0.9966666666666668,148.88223600387573,0.4133607546488444,0.001808135597304,0.0062176908832518,Ireland,leinster
BME,0.9955555555555554,0.0031426968052735,0.9933333333333332,150.56168659528095,0.0847158432006836,0.0016682227144744,0.0057365681968137,Ireland,leinster
FreezerRegularTrain,0.9982456140350876,0.0002864900283956,0.9982456140350876,140.83395965894064,1.3263391653696697,0.0014035271086293,0.0048263513647611,Ireland,leinster
Trace,1.0,0.0,1.0,104.32346852620442,0.0669199625651041,0.0010026771191099,0.0034479363116519,Ireland,leinster
Plane,1.0,0.0,1.0,103.69623589515686,0.0886445840199788,0.0009564338226714,0.0032889180814339,Ireland,leinster
FacesUCR,0.9479674796747968,0.0024335983003407,0.957560975609756,191.56354673703515,1.0345626672108967,0.0016624089827406,0.005716576340643,Ireland,leinster
Fish,0.9847619047619048,0.0026937401188058,0.9828571428571428,157.6594975789388,0.0964097181955973,0.0013413345082303,0.0046124877778249,Ireland,leinster
Yoga,0.9096666666666668,0.0031387659759612,0.9206666666666666,241.65743724505103,1.5607808430989585,0.0019662186241665,0.0067612957967247,Ireland,leinster
SwedishLeaf,0.9642666666666666,0.0086984034294933,0.968,374.0982015927633,0.3431055545806885,0.0027494733512724,0.0094546976540033,Ireland,leinster
ECG5000,0.9394814814814816,0.0020068469902435,0.9402222222222222,374.8340341250102,2.4373936653137207,0.0025893031142639,0.0089039153875069,Ireland,leinster
ChlorineConcentration,0.8472222222222223,0.0032549189686202,0.8544270833333333,376.2361359596253,1.9989690780639648,0.0024843141369685,0.00854288659744,Ireland,leinster
Adiac,0.83461210571185,0.0151066028530855,0.8542199488491049,337.1760892868042,0.210796038309733,0.002134657145117,0.0073405104627397,Ireland,leinster
FiftyWords,0.7626373626373626,0.0099913419025537,0.8153846153846154,387.13526312510174,0.2644220987955729,0.0024026946250607,0.0082622190989176,Ireland,leinster
FaceAll,0.8201183431952662,0.0370693254938517,0.8005917159763314,473.1416293780009,0.9901376565297444,0.0034358313202342,0.0118148976813817,Ireland,leinster
StarLightCurves,0.974461712805569,0.000744081929369,0.9760806216610004,850.6299540201823,4.556517680486043,0.0075941295160345,0.0261141641857414,Ireland,leinster
Wafer,0.9990266060999352,0.0002649242637663,0.9991888384166124,740.2634319464365,3.2851752440134683,0.0052972244202095,0.0182157267592012,Ireland,leinster
ElectricDevices,0.6865949077076038,0.0085502451433476,0.7040591362987939,6535.65205470721,4.175301631291707,0.0359611066761078,0.1236605514902009,Ireland,leinster
Crop,0.746547619047619,0.000763824466465,0.7771428571428571,7914.993361790975,14.8514777024587,0.0349969112357658,0.1203449432979688,Ireland,leinster
NonInvasiveFetalECGThorax1,0.9538592027141646,0.0011995025974326,0.9592875318066156,1873.63076988856,1.453776756922404,0.0507140433383499,0.1743919235857361,Ireland,leinster
SmoothSubspace,0.9888888888888888,0.0083147941928309,1.0,219.13171497980755,0.120880921681722,0.0016498998060725,0.005673560654296,Ireland,leinster
ShapesAll,0.8944444444444445,0.0028327886186626,0.905,719.0539734363556,0.4776432514190674,0.0053146634293151,0.0182756948103201,Ireland,leinster
CricketX,0.8367521367521368,0.0031979977664734,0.8589743589743589,512.3982214927673,0.3133744398752848,0.0033189704735316,0.0114130447328335,Ireland,leinster
UWaveGestureLibraryX,0.8021589428624605,0.002283239186001328,0.8160245672808487,1021.9416465759277,3.061448335647583,0.006297050878731346,0.021653860417569656,Ireland,leinster
