dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,100.188165346781,0.40181827545166
Beef,0.733333333333333,0.0272165526975909,0.733333333333333,93.1709291934967,0.367565790812175
GunPoint,1,0,1,52.259176492691,0.874831597010295
ECG200,0.866666666666667,0.0047140452079103,0.87,54.2970790068309,0.838428815205892
Wine,0.734567901234568,0.008729713347982,0.722222222222222,43.7293395201365,0.724639733632406
ToeSegmentation1,0.953216374269006,0.0041351273753599,0.960526315789474,49.9508786201477,0.679829438527425
ArrowHead,0.798095238095238,0.014253932901996,0.794285714285714,43.8731705347697,0.637323220570882
CBF,0.999259259259259,0.0005237828008789,0.998888888888889,127.632191578547,0.600802262624105
BME,0.966666666666667,0.0108866210790363,0.973333333333333,93.0239047209422,0.555103222529093
FreezerRegularTrain,0.997543859649123,0.0014324501419784,0.998245614035088,205.338728189468,0.722309350967407
Trace,1,0,1,54.0911174615224,0.660082499186198
Plane,1,0,1,52.2394087314606,0.693777084350586
FacesUCR,0.958373983739837,0.0058310312445662,0.965365853658537,159.889779011408,0.746552467346191
Fish,0.980952380952381,0.0026937401188059,0.982857142857143,81.876190662384,0.652385393778483
Yoga,0.895444444444444,0.0129681471115257,0.902666666666667,257.976368904114,0.800750652949015
SwedishLeaf,0.9536,0.0056944417344167,0.9616,122.114318211873,0.770588318506877
ECG5000,0.936814814814815,0.0002771598064277,0.939777777777778,327.031922499339,0.850368738174439
ChlorineConcentration,0.854861111111111,0.0035409857733283,0.86171875,310.740802288055,0.515885591506958
Adiac,0.839727195225916,0.0031898187440528,0.849104859335038,105.05304145813,0.780077377955119
FiftyWords,0.769230769230769,0.0117673101862337,0.789010989010989,168.38445242246,0.877771139144898
FaceAll,0.812228796844182,0.0118769776862521,0.812426035502959,199.051473140716,0.785388072331747
StarLightCurves,0.975068803626356,0.0006600901096932,0.976444876153472,1161.37732783953,1.26374959945679
Wafer,0.99891845122215,0.0002757419161579,0.998864373783258,422.436396042506,0.771097262700399
ElectricDevices,0.682790818311503,0.0069507539374585,0.700168590325509,1112.54055976868,0.914865811665853
Crop,0.717896825396825,0.0013268455156587,0.748333333333333,1322.94352086385,0.844834884007772
NonInvasiveFetalECGThorax1,0.951993214588634,0.0020914042418893,0.959796437659033,714.858591556549,0.684085687001546
SmoothSubspace,0.986666666666667,0,0.986666666666667,42.0660222371419,0.607541640599569
ShapesAll,0.901111111111111,0.0020786985482077,0.92,199.142928441366,0.620943069458008
CricketX,0.834188034188034,0.0063959955329469,0.833333333333333,110.093350966771,0.627434571584066
UWaveGestureLibraryX,0.804950679322539,0.00370599437032195,0.815745393634841,338.368449767431,0.736884435017904
AVERAGE ,0.896805579999038,0.00510724540435587,0.90182388338622,270.857986182637,0.720257200135125
