dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
ACSF1,0.9,0.0063245553203367,0.91,110.27890868187,1.22134499549866,0.0007112869448137,0.0024459240549981,Ireland,leinster
Adiac,0.844501278772379,0.0097589688124495,0.854219948849105,82.0517771720886,0.90573034286499,0.0004115691293019,0.0014152752851634,Ireland,leinster
AllGestureWiimoteX,0.718,0.0162279677956147,0.751428571428571,118.705387544632,0.953370714187622,0.0007493861353748,0.0025769369005856,Ireland,leinster
AllGestureWiimoteY,0.785714285714286,0.0101015254455221,0.815714285714286,113.569625091553,0.707861995697022,0.0007197054315078,0.0024748729612895,Ireland,leinster
AllGestureWiimoteZ,0.733428571428571,0.0082114902075428,0.772857142857143,116.183605766296,0.683800077438355,0.0007327023839803,0.0025195659771336,Ireland,leinster
ArrowHead,0.777142857142857,0.0263105472759344,0.777142857142857,110.36672873497,0.957137107849121,0.0004645540241442,0.0015974760548966,Ireland,leinster
Beef,0.88,0.0163299316185545,0.866666666666667,110.559606170654,0.397996187210083,0.0004651529787514,0.0015995356983251,Ireland,leinster
BeetleFly,0.9,0,0.9,107.36200094223,0.382720613479614,0.0004471535813903,0.0015376406230648,Ireland,leinster
BirdChicken,0.91,0.0199999999999999,0.9,91.9161244392395,0.310522556304932,0.0003805848150215,0.0013087285810821,Ireland,leinster
BME,0.996,0.0053333333333333,0.993333333333333,86.8987596988678,0.670604085922241,0.0003599109679114,0.0012376367941108,Ireland,leinster
Car,0.91,0.0169967317119759,0.916666666666667,98.3702710151672,0.788321781158447,0.0004140017321915,0.0014236403507216,Ireland,leinster
CBF,0.992,0.00226623089493,0.995555555555556,108.62195930481,0.570058012008667,0.0004461832712536,0.0015343039880801,Ireland,leinster
Chinatown,0.965014577259475,0.0171986952813441,0.970845481049563,94.4362800598144,0.680913066864014,0.0003870575381336,0.0013309865309524,Ireland,leinster
ChlorineConcentration,0.836145833333333,0.0071723874937925,0.845833333333333,164.556631803513,0.538101863861084,0.0008268827725404,0.0028434269443113,Ireland,leinster
CinCECGTorso,0.968550724637681,0.0086058161387266,0.972463768115942,229.994840335846,0.924308919906616,0.0016914101013209,0.00581630336934,Ireland,leinster
Coffee,0.992857142857143,0.0142857142857142,1,87.1448906421661,0.301318788528442,0.0003598607274918,0.0012374640308518,Ireland,leinster
Computers,0.7776,0.0150943698112905,0.784,116.018484210968,0.801356840133667,0.0007490781287228,0.0025758777487417,Ireland,leinster
CricketX,0.810769230769231,0.0081730140771841,0.846153846153846,86.0300533294678,0.681219577789307,0.0005088645719325,0.0017498480835356,Ireland,leinster
CricketY,0.811282051282051,0.0080432754571067,0.848717948717949,85.3652098655701,0.552375221252441,0.0005024137549891,0.0017276654630736,Ireland,leinster
CricketZ,0.831282051282051,0.0143589743589743,0.858974358974359,85.2066278457642,0.554827690124512,0.0005026051936631,0.0017283237690655,Ireland,leinster
Crop,0.74052380952381,0.0032044381779465,0.780833333333333,688.46269903183,0.797068977355957,0.0038552833658178,0.0132572801905669,Ireland,leinster
DiatomSizeReduction,0.950980392156863,0.0137099195839235,0.947712418300654,96.101314496994,0.77997670173645,0.0003981992587542,0.0013692999045897,Ireland,leinster
DistalPhalanxOutlineAgeGroup,0.717985611510791,0.0053836796931999,0.733812949640288,53.765894985199,0.675171041488648,0.0002365832429874,0.0008135459946955,Ireland,leinster
DistalPhalanxOutlineCorrect,0.771014492753623,0.0057971014492753,0.768115942028986,66.9835994720459,0.583966493606567,0.0003034968636309,0.0010436438975634,Ireland,leinster
DistalPhalanxTW,0.674820143884892,0.0115107913669064,0.669064748201439,53.3714932441711,0.56986289024353,0.0002326984041378,0.0008001870811638,Ireland,leinster
DodgerLoopDay,0.407792207792208,0.054235358487847,0.415584415584416,41.5592059135437,0.670981645584106,0.0001821719133906,0.0006264401003786,Ireland,leinster
DodgerLoopGame,0.721259842519685,0.0328828551461749,0.708661417322835,88.7890241622925,0.675812530517578,0.000373214873419,0.0012833853386944,Ireland,leinster
DodgerLoopWeekend,0.982539682539682,0.0031746031746031,0.984126984126984,89.1449643135071,0.66158013343811,0.0003776820152239,0.0012987466351127,Ireland,leinster
Earthquakes,0.713669064748202,0.0205508731756628,0.719424460431655,95.8997193336487,0.671383953094482,0.0005976730895905,0.0020552366348257,Ireland,leinster
ECG200,0.878,0.0203960780543711,0.88,40.9366532325745,0.767159795761108,0.0001756912864677,0.0006041549714336,Ireland,leinster
ECG5000,0.942711111111111,0.0019444126981535,0.945111111111111,181.343616294861,0.838543701171875,0.000862229627722,0.0029649752505012,Ireland,leinster
ECGFiveDays,0.997677119628339,0.0016425244626865,0.99883855981417,107.75656952858,0.70879111289978,0.0004471001745762,0.0015374569714284,Ireland,leinster
ElectricDevices,0.68525483076125,0.006051157538559,0.710154324990274,673.289900112152,0.812262439727783,0.0040207424472451,0.013826249367257,Ireland,leinster
EOGHorizontalSignal,0.614364640883978,0.0170824583798235,0.646408839779006,248.057094764709,0.851187610626221,0.0017426091314332,0.005992363031699,Ireland,leinster
EOGVerticalSignal,0.414917127071823,0.0094731647510951,0.447513812154696,247.650591182709,0.592338418960571,0.0017496755355871,0.0060166624906282,Ireland,leinster
EthanolLevel,0.6728,0.042943684052489,0.718,475.3966401577,0.947915983200073,0.0034212671120184,0.0117648152955362,Ireland,leinster
FaceAll,0.921538461538462,0.015946059420309,0.935502958579882,114.462181806564,0.790620899200439,0.0005697045708152,0.0019590604384904,Ireland,leinster
FaceFour,0.938636363636364,0.0170075335762452,0.954545454545455,89.8502564430237,0.706686687469482,0.0003732075226215,0.0012833600612833,Ireland,leinster
FacesUCR,0.951512195121951,0.003921902681413,0.961951219512195,99.7000765800476,0.636154651641846,0.0004553223080521,0.0015657306719353,Ireland,leinster
FiftyWords,0.781978021978022,0.0080332601681305,0.813186813186813,93.5385579586029,0.743996047973633,0.0005480386356094,0.0018845571280049,Ireland,leinster
Fish,0.986285714285714,0.0058274508726774,0.988571428571428,66.9732341766357,0.78820013999939,0.0003939369050882,0.0013546428193747,Ireland,leinster
FordA,0.952424242424242,0.0016872013220696,0.956818181818182,795.50282626152,0.781143808364868,0.0053819076881305,0.0185069296887279,Ireland,leinster
FordB,0.838271604938272,0.0051793029539266,0.846913580246914,861.690527057648,1.08426899909973,0.0056975761630308,0.0195924284762328,Ireland,leinster
FreezerRegularTrain,0.99740350877193,0.0008479330507785,0.99859649122807,135.657302284241,1.0106041431427,0.000739418858244,0.0025426621215043,Ireland,leinster
FreezerSmallTrain,0.971228070175439,0.0075090998452746,0.976140350877193,185.732204532623,0.751459121704102,0.0008714908861276,0.0029968222215148,Ireland,leinster
Fungi,0.994623655913978,0.0058894898656469,1,104.820920419693,0.957040309906006,0.0004432101556918,0.0015240802451535,Ireland,leinster
GestureMidAirD1,0.723076923076923,0.0275208366461512,0.738461538461539,80.0533389568329,0.928777074813843,0.0004232911835897,0.0014555842698362,Ireland,leinster
GestureMidAirD2,0.649230769230769,0.0317534883700773,0.684615384615385,81.5997177124023,0.780690717697144,0.000423995198883,0.001458005188642,Ireland,leinster
GestureMidAirD3,0.404615384615385,0.0420200008730697,0.446153846153846,80.1266651153565,0.749878168106079,0.00042208569932,0.0014514389344065,Ireland,leinster
GesturePebbleZ1,0.902325581395349,0.0139534883720929,0.906976744186046,66.4484415054321,1.00439548492432,0.0003696584077753,0.0012711556120951,Ireland,leinster
GesturePebbleZ2,0.869620253164557,0.0142088255193947,0.879746835443038,66.8786853313446,0.715362787246704,0.0003726315508829,0.0012813794497445,Ireland,leinster
GunPoint,1,0,1,93.8554540157318,0.837597417831421,0.0003913547966162,0.0013457636444222,Ireland,leinster
GunPointAgeSpan,0.99620253164557,0.0031006199275736,0.996835443037975,44.0111614704132,0.695200395584106,0.0002034253400538,0.0006995249051902,Ireland,leinster
GunPointMaleVersusFemale,1,0,1,45.106213760376,0.569910621643066,0.0002024085370688,0.0006960283938336,Ireland,leinster
GunPointOldVersusYoung,1,0,1,52.3349343299866,0.821877002716065,0.0002297123542719,0.0007899188606522,Ireland,leinster
Ham,0.718095238095238,0.0304761904761904,0.714285714285714,58.0706742286682,0.9306067943573,0.0003096863247838,0.0010649277859179,Ireland,leinster
HandOutlines,0.917837837837838,0.0121591587883265,0.916216216216216,1306.38015060425,1.1949321269989,0.0095941281280001,0.0329916202541226,Ireland,leinster
Haptics,0.54935064935065,0.0169827231566519,0.584415584415584,128.490261793137,1.05247087478638,0.0008619084096778,0.0029638706682409,Ireland,leinster
Herring,0.65625,0.0242061459137963,0.671875,117.139995861053,0.511242437362671,0.0004923547710803,0.0016930753291048,Ireland,leinster
HouseTwenty,0.93109243697479,0.0171395613902278,0.941176470588235,145.674432754517,1.05114898681641,0.0007478701481965,0.0025717238293582,Ireland,leinster
InlineSkate,0.523636363636364,0.0161807966991178,0.556363636363636,173.245421171188,0.962703847885132,0.0012789755126615,0.0043980520027562,Ireland,leinster
InsectEPGRegularTrain,1,0,1,117.86188750267,0.842845487594605,0.0005293819210452,0.0018204017160821,Ireland,leinster
InsectEPGSmallTrain,1,0,1,105.305516529083,0.594363212585449,0.0004442488914228,0.0015276521773105,Ireland,leinster
InsectWingbeatSound,0.607272727272727,0.0149296893100835,0.638383838383838,107.263677740097,0.751082468032837,0.0006096846435324,0.0020965411307661,Ireland,leinster
ItalyPowerDemand,0.968707482993197,0.0024119871032052,0.967930029154519,53.3864248275757,0.701276540756226,0.0002248282060903,0.0007731235917206,Ireland,leinster
LargeKitchenAppliances,0.878933333333333,0.0085333333333333,0.882666666666667,167.139291620255,0.870276355743408,0.0010972796435234,0.0037732488902304,Ireland,leinster
Lightning2,0.714754098360656,0.0196721311475409,0.704918032786885,102.685482501984,0.793234014511108,0.0004515432021816,0.0015527353456153,Ireland,leinster
Lightning7,0.802739726027397,0.0164383561643835,0.835616438356164,42.6864949226379,0.679262351989746,0.0001912302995553,0.0006575894484459,Ireland,leinster
Mallat,0.948571428571429,0.010668142583791,0.959061833688699,240.020086717606,0.92049994468689,0.001735145528267,0.0059666977124432,Ireland,leinster
Meat,0.913333333333333,0.0323178657161088,0.916666666666667,88.7361645698547,0.776737260818482,0.0003742502383045,0.0012869456794228,Ireland,leinster
MedicalImages,0.740789473684211,0.0148165139581676,0.747368421052632,69.7784569740295,0.798373508453369,0.000319756914908,0.0010995578305327,Ireland,leinster
MelbournePedestrian,0.963605002156102,0.001267523799629,0.970245795601552,123.254735374451,0.632100248336792,0.0005264466350315,0.0018103080587731,Ireland,leinster
MiddlePhalanxOutlineCorrect,0.816494845360825,0.0182616223444487,0.821305841924399,67.2281606197357,0.760369682312012,0.000305300682248,0.0010498467435155,Ireland,leinster
MiddlePhalanxOutlineAgeGroup,0.509090909090909,0.0241572405684912,0.525974025974026,59.5166914463043,0.653487157821655,0.0002588082186886,0.0008899716947391,Ireland,leinster
