dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
ACSF1,0.892,0.0222710574513201,0.93,115.473949670792,0.7842209815979,0.0008597400530663,0.002956414274398,Ireland,leinster
Adiac,0.836828644501279,0.0139521040378372,0.846547314578005,92.9817652225494,0.818379259109497,0.0005697634228715,0.001959262814847,Ireland,leinster
AllGestureWiimoteX,0.704857142857143,0.0099631975852358,0.74,115.313011789322,0.795200347900391,0.0008404844091304,0.0028901993058249,Ireland,leinster
AllGestureWiimoteY,0.759428571428572,0.0102459549011663,0.772857142857143,115.56684794426,0.558558464050293,0.0008425591014727,0.0028973336134961,Ireland,leinster
AllGestureWiimoteZ,0.725142857142857,0.0145854274492574,0.755714285714286,115.137985372543,0.58616418838501,0.0008404881300994,0.0028902121012342,Ireland,leinster
ArrowHead,0.829714285714286,0.015075321095169,0.828571428571429,120.423942279816,0.819896793365479,0.0007648939808783,0.0026302642006786,Ireland,leinster
Beef,0.726666666666667,0.038873012632302,0.733333333333333,114.849168300629,0.307482194900513,0.0007136721459767,0.0024541261187971,Ireland,leinster
BeetleFly,0.82,0.0244948974278317,0.85,123.588258600235,0.323768377304077,0.0007620495356506,0.0026204829203441,Ireland,leinster
BirdChicken,0.9,0,0.9,121.289598703384,0.30483078956604,0.000749205936415,0.0025763172449409,Ireland,leinster
BME,0.964,0.0161107279647927,0.98,120.653337812424,0.830131244659424,0.0007662989209965,0.0026350954110025,Ireland,leinster
Car,0.93,0.0244948974278317,0.95,125.877893972397,0.797633934020996,0.0007802680366098,0.0026831314338127,Ireland,leinster
CBF,0.997777777777778,0.0022222222222222,0.998888888888889,120.594097232819,0.694414472579956,0.0007470222084122,0.0025688079930273,Ireland,leinster
Chinatown,0.983090379008746,0.0021817244237748,0.982507288629738,119.520364189148,0.788081884384155,0.0007396153828598,0.002543337916679,Ireland,leinster
ChlorineConcentration,0.836510416666667,0.0075519037334966,0.84609375,92.8273882865906,0.562836313247681,0.0005753974655277,0.0019786367687206,Ireland,leinster
CinCECGTorso,0.871304347826087,0.0072405773894474,0.870289855072464,135.503271102905,0.920266342163086,0.0008751599760097,0.0030094392325091,Ireland,leinster
Coffee,1,0,1,121.119306755066,0.306387519836426,0.0007535356251548,0.0025912058773229,Ireland,leinster
Computers,0.8,0.0159999999999999,0.804,129.064376163483,0.806977224349976,0.0009611389108145,0.003305097611164,Ireland,leinster
CricketX,0.81025641025641,0.0122434219346803,0.846153846153846,99.5786342144012,0.691393518447876,0.0007027372850919,0.002416524080026,Ireland,leinster
CricketY,0.824615384615385,0.0145590457093111,0.861538461538462,98.6347965240479,0.556545639038086,0.0006914762835356,0.0023778005314065,Ireland,leinster
