dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,91.9342379570007,0.344730695088704
Beef,0.633333333333333,0.0544331053951817,0.666666666666667,83.6723852157593,0.310657739639282
GunPoint,0.995555555555555,0.0031426968052735,1,93.8820552031199,0.79812757174174
ECG200,0.896666666666667,0.0047140452079103,0.89,46.3877186775208,1.14254768689473
Wine,0.623456790123457,0.0960268468278027,0.555555555555556,52.4599618911743,1.06585454940796
ToeSegmentation1,0.964912280701754,0.0035811253549461,0.960526315789474,116.282823642095,0.99522320429484
ArrowHead,0.84,0.0046656947481584,0.84,95.5458561579386,0.97844394048055
CBF,0.997777777777778,0.0015713484026367,0.997777777777778,110.827530622482,0.776798725128174
BME,0.988888888888889,0.006285393610547,0.993333333333333,90.4588428338369,0.560220082600912
FreezerRegularTrain,0.990058479532164,0.0110969438766132,0.99719298245614,128.019605636597,0.996669054031372
Trace,1,0,1,45.7679966290792,0.93151577313741
Plane,1,0,1,39.5019830862681,0.970067183176676
FacesUCR,0.92260162601626,0.0140384635409101,0.954146341463415,97.713636080424,0.843522866566976
Fish,0.982857142857143,0.0046656947481584,0.982857142857143,67.890193382899,0.935057957967122
Yoga,0.898,0.0055243568420693,0.909666666666667,158.181878805161,1.01537863413493
SwedishLeaf,0.9424,0.0026127890589687,0.9504,76.1374158859253,0.797787507375081
ECG5000,0.940962962962963,0.0042254698361338,0.941333333333333,175.599003632863,0.929285287857056
ChlorineConcentration,0.595833333333333,0.25751964989301,0.813541666666667,162.12376387914,0.610891421635946
Adiac,0.793691389599318,0.037140700615161,0.828644501278772,72.9358959197998,0.802817026774089
FiftyWords,0.781684981684982,0.0137057047134576,0.810989010989011,94.0751901467641,0.804465691248576
FaceAll,0.789151873767259,0.018626264880202,0.789940828402367,115.34265200297,0.614066282908122
StarLightCurves,0.973530840213696,0.0026986535661598,0.976323457989315,878.332906246185,1.29121526082357
Wafer,0.999026606099935,0.0001324621318831,0.999026606099935,244.014917532603,0.9700714747111
ElectricDevices,0.639043790256344,0.0181071324763186,0.689015691868759,654.156732241313,0.810051043828329
Crop,0.747420634920635,0.0027801860308869,0.778452380952381,684.180092175802,0.788218180338542
NonInvasiveFetalECGThorax1,0.946904156064461,0.0047799839876523,0.959287531806616,683.534064769745,1.05477746327718
SmoothSubspace,0.991111111111111,0.006285393610547,0.993333333333333,35.7274429003398,0.727157672246297
ShapesAll,0.890555555555556,0.0015713484026368,0.9,175.478431781133,0.798880815505981
CricketX,0.787179487179487,0.0127347559194455,0.805128205128205,86.8352973461151,0.769759972890218
UWaveGestureLibraryX,0.815280104224828,0.00413662958698921,0.834729201563372,227.276777505875,1.04494190216064
AVERAGE,0.878929512280897,0.019893428002322,0.893928951065941,189.475909659598,0.849306755595737
