dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,111.451831022898,0.427051067352295
Beef,0.766666666666667,0.0272165526975909,0.766666666666667,84.9712462425232,0.303368886311849
GunPoint,1,0,1,91.8775910536448,0.777413924535116
ECG200,0.9,0.0163299316185545,0.9,38.8981189727783,0.918461561203003
Wine,0.802469135802469,0.0436485667399103,0.759259259259259,52.3028643131256,0.93962295850118
ToeSegmentation1,0.972222222222222,0.0074547068912174,0.978070175438596,95.8489871819814,0.881950378417969
ArrowHead,0.811428571428571,0.0364402408946838,0.811428571428571,92.3393138249715,0.954054355621338
CBF,0.997037037037037,0.0018885257457751,0.998888888888889,109.333414475123,0.762095848719279
BME,0.995555555555555,0.0031426968052735,0.993333333333333,89.6149697303772,0.540151596069336
FreezerRegularTrain,0.997309941520468,0.0010061199142739,0.997543859649123,125.77928129832,0.986304044723511
Trace,1,0,1,44.9463500181834,0.90805180867513
Plane,1,0,1,38.8397889931997,0.935453097025553
FacesUCR,0.951707317073171,0.0070464873756164,0.964878048780488,96.1522777080536,0.819527387619019
Fish,0.984761904761905,0.0026937401188058,0.982857142857143,67.6540432771047,0.910946607589722
Yoga,0.904555555555556,0.0083459164258728,0.919,156.53437034289,0.994938135147095
SwedishLeaf,0.962133333333333,0.0039911012125588,0.968,75.0665482680003,0.796393235524496
ECG5000,0.940518518518518,0.00137386940674,0.941777777777778,172.372353712718,0.885066350301107
ChlorineConcentration,0.843402777777778,0.0083152291769639,0.850520833333333,159.87531320254,0.599335590998332
Adiac,0.833759590792839,0.0041764530993745,0.843989769820972,70.9934759140015,0.801254987716675
FiftyWords,0.775091575091575,0.0072523772429389,0.808791208791209,93.3724657694499,0.771712938944499
FaceAll,0.809861932938856,0.0307325427356123,0.80414201183432,112.849840641022,0.598879973093669
StarLightCurves,0.974987858183584,0.0018360524886212,0.977173385138417,870.131386121114,1.2710976600647
Wafer,0.99913476097772,0.0002757419161579,0.999026606099935,240.750892559687,0.928692181905111
ElectricDevices,0.687329788613669,0.0063646957517397,0.701854493580599,639.693204800288,0.810851891835531
Crop,0.744960317460317,0.0005242001910167,0.773154761904762,709.300848801931,0.830456733703613
NonInvasiveFetalECGThorax1,0.947752332485157,0.0016793036364057,0.957251908396946,699.484134276708,1.18577869733175
SmoothSubspace,0.991111111111111,0.0083147941928309,1,38.3594313462575,0.786762555440267
ShapesAll,0.9,0.0108866210790363,0.915,177.551741361618,0.810839494069417
CricketX,0.811111111111111,0.0115305449258393,0.835897435897436,89.5679493745168,0.780534505844116
UWaveGestureLibraryX,0.809603573422669,0.00533116902564767,0.828029034059185,226.811199903488,1.04705786705017
Average,0.903815749648062,0.00859327271030194,0.909217839097899,189.090841150284,0.832136877377828
