dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,112.187402407328,0.367775678634644
Beef,0.855555555555556,0.0314269680527354,0.9,118.967001358668,0.346456050872803
GunPoint,1,0,1,116.44415195783,0.928181886672974
ECG200,0.873333333333333,0.0169967317119759,0.88,49.2634998957316,0.990174134572347
Wine,0.697530864197531,0.0681812408468349,0.777777777777778,78.7392686208089,1.02047348022461
ToeSegmentation1,0.970760233918129,0.0041351273753599,0.964912280701754,114.950744469961,0.9319961865743
ArrowHead,0.780952380952381,0.0071269664509979,0.788571428571429,105.904841899872,0.971736510594686
CBF,0.994444444444444,0.001814436846506,0.994444444444444,122.773313999176,0.792864084243774
BME,0.993333333333333,0.0054433105395181,0.993333333333333,101.323081890742,0.584020694096883
FreezerRegularTrain,0.998245614035088,0.0002864900283956,0.99859649122807,142.468053658803,1.02926580111186
Trace,1,0,1,55.579853216807,0.931332270304362
Plane,1,0,1,44.6559607187907,0.975542942682902
FacesUCR,0.946666666666667,0.007238968874651,0.956585365853658,105.802981694539,0.85345729192098
Fish,0.988571428571428,0.0080812203564176,0.988571428571428,93.344854593277,0.97472071647644
Yoga,0.921333333333333,0.000942809041582,0.935,198.775610526403,1.05373477935791
SwedishLeaf,0.9696,0.0013063945294843,0.9792,82.6973299185435,0.790253400802612
ECG5000,0.94362962962963,0.0022686507897946,0.944666666666667,187.345813274384,0.922169367472331
ChlorineConcentration,0.83671875,0.0046047872256509,0.842708333333333,169.067261298498,0.608362674713135
Adiac,0.852514919011083,0.0115010550411185,0.864450127877238,76.1563144524892,0.807990392049154
FiftyWords,0.764835164835165,0.004747795383449,0.808791208791209,119.091907898585,0.792059103647868
FaceAll,0.906114398422091,0.0127581551312001,0.923076923076923,120.04882367452,0.617915789286296
StarLightCurves,0.976606767039016,0.0003186825268743,0.977659057795046,1146.34551405907,1.39216430981954
Wafer,0.999405148172182,0.0002023392486899,0.999513303049968,323.013928810755,1.12319215138753
ElectricDevices,0.68944797475468,0.0040102247502041,0.710413694721826,806.373402436574,0.822419961293538
Crop,0.742718253968254,0.0027648508735072,0.772857142857143,841.293600400289,0.827852725982666
NonInvasiveFetalECGThorax1,0.956064461407973,0.0022885050997848,0.966921119592875,1001.23476401965,1.28464333216349
SmoothSubspace,0.973333333333333,0.0054433105395181,0.973333333333333,43.6884069442749,0.851680119832357
ShapesAll,0.907222222222222,0.0007856742013184,0.916666666666667,258.717953046163,1.0203971862793
CricketX,0.816239316239316,0.0087162726728081,0.825641025641026,126.922003746033,1.13855274518331
UWaveGestureLibraryX,0.82784291829518,0.00590166015101728,0.838079285315466,322.798456907272,1.2882985273997
AVERAGE,0.906100681522378,0.00730975427631313,0.917392347973354,239.532536726528,0.901322809855143
