dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean
Coffee,1,0,1,128.857382456462,0.455356597900391
Beef,0.855555555555556,0.0157134840263677,0.866666666666667,122.371147314707,0.361621141433716
GunPoint,1,0,1,114.493218421936,0.903093655904134
ECG200,0.866666666666667,0.0047140452079103,0.86,52.0466345945994,1.13185628255208
Wine,0.679012345679012,0.0885969141630081,0.759259259259259,63.6047782897949,1.09638460477193
ToeSegmentation1,0.973684210526316,0,0.973684210526316,128.754048347473,1.02430327733358
ArrowHead,0.803809523809524,0.0239424858856695,0.811428571428571,133.693589448929,1.18425536155701
CBF,0.994814814814815,0.0005237828008789,0.994444444444444,170.437538226446,1.08131734530131
BME,0.991111111111111,0.0031426968052735,1,140.555361668269,0.834488232930501
FreezerRegularTrain,0.99812865497076,0.0003308101900287,0.998245614035088,176.225153366725,1.23651782671611
Trace,1,0,1,58.3636030356089,0.950750986735026
Plane,1,0,1,43.5612444877625,0.968396186828613
FacesUCR,0.954146341463415,0.0003982910150866,0.961951219512195,105.447759707769,0.866000413894653
Fish,0.99047619047619,0.0026937401188059,0.988571428571428,91.9202437400818,0.9315292040507
Yoga,0.926666666666667,0.0098243838747535,0.939333333333333,218.935708840688,1.29094870885213
SwedishLeaf,0.9728,0.0045254833995938,0.9776,94.2089020411174,0.869587977727254
ECG5000,0.943259259259259,0.0019986277871454,0.945333333333333,212.049258470535,1.08303316434224
ChlorineConcentration,0.84765625,0.0091282140141411,0.852864583333333,193.321392933528,0.653005361557007
Adiac,0.848252344416027,0.0031898187440528,0.869565217391304,82.2565307617188,0.887407302856445
FiftyWords,0.784615384615385,0.0135481626438878,0.806593406593407,125.127926985423,0.859875758488973
FaceAll,0.920315581854043,0.0106873508356165,0.937278106508876,132.04817477862,0.675869385401408
StarLightCurves,0.974502185526955,0.0011433096075623,0.976444876153472,1176.72785631816,1.56955901781718
Wafer,0.999242915855505,0.0002757419161579,0.999188838416612,300.958715677261,1.16838924090068
ElectricDevices,0.675139411230709,0.0065470523924746,0.692906237842044,877.775225480398,1.11091629664103
Crop,0.739920634920635,0.0019569568263393,0.76952380952381,923.057719310125,0.948466936747233
NonInvasiveFetalECGThorax1,0.956912637828668,0.0022885050997849,0.966412213740458,998.087221066157,1.28082609176636
SmoothSubspace,0.977777777777778,0.0083147941928309,0.98,43.2558166186015,0.78139321009318
ShapesAll,0.896111111111111,0.0061363116762151,0.916666666666667,252.168296655019,0.874616384506226
CricketX,0.81025641025641,0.0072523772429389,0.828205128205128,123.345153967539,0.836344480514526
UWaveGestureLibraryX,0.822538619021031,0.00516953076952587,0.839195979899498,327.576235532761,1.36489915847778
AVERAGE,0.906779086847118,0.007734762374535,0.917045438179508,253.707727951474,0.976033653153314
