dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
ACSF1,0.892,0.0222710574513201,0.93,115.47394967079164,0.7842209815979004,0.0008597400530663,0.002956414274398,Ireland,leinster
Adiac,0.8368286445012787,0.0139521040378372,0.8465473145780051,92.98176522254944,0.818379259109497,0.0005697634228715,0.001959262814847,Ireland,leinster
AllGestureWiimoteX,0.7048571428571428,0.0099631975852358,0.74,115.3130117893219,0.7952003479003906,0.0008404844091304,0.0028901993058249,Ireland,leinster
AllGestureWiimoteY,0.7594285714285715,0.0102459549011663,0.7728571428571429,115.56684794425964,0.558558464050293,0.0008425591014727,0.0028973336134961,Ireland,leinster
AllGestureWiimoteZ,0.7251428571428571,0.0145854274492574,0.7557142857142857,115.13798537254334,0.5861641883850097,0.0008404881300994,0.0028902121012342,Ireland,leinster
ArrowHead,0.8297142857142857,0.015075321095169,0.8285714285714286,120.42394227981568,0.8198967933654785,0.0007648939808783,0.0026302642006786,Ireland,leinster
Beef,0.7266666666666666,0.038873012632302,0.7333333333333333,114.84916830062866,0.3074821949005127,0.0007136721459767,0.0024541261187971,Ireland,leinster
BeetleFly,0.8200000000000001,0.0244948974278317,0.85,123.58825860023498,0.3237683773040771,0.0007620495356506,0.0026204829203441,Ireland,leinster
BirdChicken,0.9,0.0,0.9,121.2895987033844,0.30483078956604,0.000749205936415,0.0025763172449409,Ireland,leinster
BME,0.964,0.0161107279647927,0.98,120.6533378124237,0.8301312446594238,0.0007662989209965,0.0026350954110025,Ireland,leinster
Car,0.93,0.0244948974278317,0.95,125.87789397239683,0.7976339340209961,0.0007802680366098,0.0026831314338127,Ireland,leinster
CBF,0.9977777777777778,0.0022222222222222,0.9988888888888888,120.5940972328186,0.694414472579956,0.0007470222084122,0.0025688079930273,Ireland,leinster
Chinatown,0.9830903790087464,0.0021817244237748,0.9825072886297376,119.52036418914795,0.7880818843841553,0.0007396153828598,0.002543337916679,Ireland,leinster
ChlorineConcentration,0.8365104166666667,0.0075519037334966,0.84609375,92.82738828659058,0.5628363132476807,0.0005753974655277,0.0019786367687206,Ireland,leinster
CinCECGTorso,0.871304347826087,0.0072405773894474,0.8702898550724638,135.50327110290527,0.920266342163086,0.0008751599760097,0.0030094392325091,Ireland,leinster
Coffee,1.0,0.0,1.0,121.11930675506592,0.3063875198364257,0.0007535356251548,0.0025912058773229,Ireland,leinster
Computers,0.8000000000000002,0.0159999999999999,0.804,129.06437616348268,0.8069772243499755,0.0009611389108145,0.003305097611164,Ireland,leinster
CricketX,0.8102564102564103,0.0122434219346803,0.8461538461538461,99.57863421440123,0.691393518447876,0.0007027372850919,0.002416524080026,Ireland,leinster
CricketY,0.8246153846153847,0.0145590457093111,0.8615384615384616,98.63479652404786,0.556545639038086,0.0006914762835356,0.0023778005314065,Ireland,leinster
